Category,Job_Title,Company,Location,Skills,Salary,Date_Posted,Job_Link,Remote,Country,Location_Type,Role_Category
data_jobs,senior marketing manager paid ads,Acebet.com,worldwide,marketing,200000,20-05-2026,https://remoteok.com/remote-jobs/remote-senior-marketing-manager-paid-ads-acebet-com-1129629,TRUE,Remote,Remote,Marketing & Growth
data_jobs,devrel content creator,SuperPlane,europe,marketing,70000,16-05-2026,https://remoteok.com/remote-jobs/remote-devrel-content-creator-superplane-1131594,FALSE,Other,Physical,Other
data_jobs,devrel content creator,SuperPlane,europe,devops,70000,16-05-2026,https://remoteok.com/remote-jobs/remote-devrel-content-creator-superplane-1131594,FALSE,Other,Physical,Other
data_jobs,intern sd engineer,Copious,india,salesforce,,21-05-2026,https://remoteok.com/remote-jobs/remote-intern-sd-engineer-copious-1131629,FALSE,India,Physical,Other
data_jobs,intern sd engineer,Copious,india,firebase,,21-05-2026,https://remoteok.com/remote-jobs/remote-intern-sd-engineer-copious-1131629,FALSE,India,Physical,Other
data_jobs,intern sd engineer,Copious,india,typescript,,21-05-2026,https://remoteok.com/remote-jobs/remote-intern-sd-engineer-copious-1131629,FALSE,India,Physical,Other
data_jobs,member of technical staff applied ml recsys,Liquid AI,cambridge,python,,21-05-2026,https://remoteok.com/remote-jobs/remote-member-of-technical-staff-applied-ml-recsys-liquid-ai-1131627,FALSE,United States,Physical,Other
data_jobs,software engineer platform,Benchling,worldwide,node,,21-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-platform-benchling-1131626,TRUE,Remote,Remote,Software Engineering
data_jobs,software engineer platform,Benchling,worldwide,excel,,21-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-platform-benchling-1131626,TRUE,Remote,Remote,Software Engineering
data_jobs,software engineer platform,Benchling,worldwide,biotech,,21-05-2026,https://remoteok.com/remote-jobs/remote-software-engineer-platform-benchling-1131626,TRUE,Remote,Remote,Software Engineering
data_jobs,customer lifecycle automation manager @cxt software,CXT Software,worldwide,saas,,21-05-2026,https://remoteok.com/remote-jobs/remote-customer-lifecycle-automation-manager-cxt-software-cxt-software-1131624,TRUE,Remote,Remote,Other
data_jobs,accountant asset manager a312,Pearl,worldwide,accounting,,21-05-2026,https://remoteok.com/remote-jobs/remote-accountant-asset-manager-a312-pearl-1131622,TRUE,Remote,Remote,Finance & Accounting
data_jobs,accountant asset manager a312,Pearl,worldwide,bookkeeping,,21-05-2026,https://remoteok.com/remote-jobs/remote-accountant-asset-manager-a312-pearl-1131622,TRUE,Remote,Remote,Finance & Accounting
data_jobs,accountant asset manager a312,Pearl,worldwide,bank,,21-05-2026,https://remoteok.com/remote-jobs/remote-accountant-asset-manager-a312-pearl-1131622,TRUE,Remote,Remote,Finance & Accounting
data_jobs,accountant asset manager a312,Pearl,worldwide,microsoft,,21-05-2026,https://remoteok.com/remote-jobs/remote-accountant-asset-manager-a312-pearl-1131622,TRUE,Remote,Remote,Finance & Accounting
